job_title,company_name,exprice,job_description
Trainer,Teleperformance (TP),1-6 Yrs, • Conduct new hire training and soft skills / Negotiation skill training • Should com...
Quality Analyst,Teleperformance (TP),1-6 Yrs,Need to be flexible and motivate the team at regular intervals. . INFORMATION SECURITY:...
Mobile App Developer - Android / Flutter,Appening Infotech,1-6 Yrs,Remote work / Work from home: Productivity is more important than clocking-in timeYou h...
Web Developer - MEAN Stack,Appening Infotech,1-6 Yrs,"We are looking for a strong Full Stack Web Developer with experience in MEAN stack, wit..."
UI / UX Designer,Appening Infotech,1-3 Yrs,Qualifications . 1-3 years working as a UI / UX designer with a portfolio showcasing re...
Node . js Developer,Appening Infotech,1-6 Yrs, Description We are looking for Node.js developers who are interested in experime...
HTML Developer,Appening Infotech,1-6 Yrs,Optimize web pages for maximum speed scalabilityQualifications . . . . Must have at lea...
Angular Developer,Appening Infotech,1-6 Yrs, Description We are looking for Angular developers who are interested in experim...
Ruby On Rails Development Professional,Hitachi Ltd.,6-9 Yrs," Translate business requirements into specifications and detailed designs Design, buil..."
Software Engineer - AIML Implementation (.NET),Icertis,5-9 Yrs,. 2 years of overall experience in developing enterprise web applications Good knowledg...
Technical Project Manager,Isha Foundation,4-8 Yrs,Bachelor Degree . Experience in any ERP implementation is required . Preferably in any ...
Odoo developer,Isha Foundation,1-4 Yrs,Bachelor Degree . .
Java Developer,Isha Foundation,2-5 Yrs,Graduate . Experience: Junior developer with 2 years of experience . Good English commu...
Business Analyst,Isha Foundation,1-4 Yrs,Bachelor Degree . .
FP&A and Strategic Finance Manager,Hitachi Ltd.,5-8 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Functional Consultant - Global Support and Growth,Icertis,3-8 Yrs,Willingness to work in rotational shifts. 3+ years previous experience in an Applicatio...
Online English language teacher -Portuguese Speaker,Global Lt,3-6 Yrs,Preferred start date: Aug 14th . .
Pre Silicon Verification Lead,Hitachi Ltd.,3-5 Yrs,Pre Silicon Verification of Customer SoC components using SIMICS . Here DML is used t...
Dot Net Developer-MVC / Microservices Architecture,Acet Infotech,3-5 Yrs,In this role you will focus on delivering products and solutions that directly impact i...
Dot Net Developer-MVC / Microservices Architecture,Acet Infotech,3-5 Yrs,In this role you will focus on delivering products and solutions that directly impact i...
Dot Net Developer,Acet Infotech,4-5 Yrs,In this role you will focus on delivering products and solutions that directly impact i...
Associate Staff Engineer (MySQL DBA),Nagarro,4-7 Yrs,"Must Have: Database Design - General Experience, MySQL DBA Reviewing architecture and d..."
Associate Staff Engineer (Azure Devops Professional),Nagarro,5-7 Yrs,Working experience with container services like Docker & its orchestration like Kuberne...
UI/UX Developer,Peddle Plus,2-3 Yrs,. Graduate having 2-3 years experience HTML and XAML . CSS / SCSS . Bootstrap . Photosh...
Software Developer,Peddle Plus,2-3 Yrs,"Education: Bachelor s Degree in Engineering / MCA Well organized, good communication an..."
Data Scientist,Xebia Academy Global,8-10 Yrs,Experience working with tight deadlines . Have suitable qualifications and industry cer...
Agile Coach,Xebia Academy Global,8-10 Yrs,Experience working with tight deadlines . Have suitable qualifications and industry cer...
Agile (SAFe) Coach,Xebia Academy Global,8-10 Yrs,Experience working with tight deadlines . Have suitable qualifications and industry cer...
Engineering Manager,Browserstack,6-15 Yrs, Develop deliver complex systems. You will be handling innovation and responsible ...
Technical Lead,Browserstack,2-6 Yrs,"Develop multi tier scalable, high volume performing, and reliable user centric applicat..."
Territory Sales Incharge - GT - Bilaspur,Brillon Consumer Products (Formerly known as SC Johnson),2-5 Yrs,Track availability of required manpower at DBs as per plan and monitor their performanc...
Senior Backend Developer,Emurgo,1-3 Yrs,Experience with AWS or any other cloud environments Any experience with Haskell Product...
Project Specialist,Hitachi Ltd.,4-6 Yrs,Bachelors in electrical engineering with 4-6 years of experience . Experience in Order ...
Senior Program Manager,Hitachi Ltd.,6-9 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Freelance Translator: English To Konkani,Blueink Interactive,4-5 Yrs,Minimum 3-4 years experience translating and reviewing content in the specified subject...
Freelance Translator: English To Hindi,Blueink Interactive,4-5 Yrs,Minimum 3-4 years experience translating and reviewing content in the specified subject...
Freelance Translator: English To Gujarati,Blueink Interactive,4-5 Yrs,Minimum 3-4 years experience translating and reviewing content in the specified subject...
Freelance Translator: English To Bengali,Blueink Interactive,4-5 Yrs,Minimum 3-4 years experience translating and reviewing content in the specified subject...
Medical Insurance Verification Specialist,Hipaas Infotech,1-2 Yrs,Qualifications and Skills . . . . . . . . High School Diploma or Equivalent . . . . 1-2...
Medical Biller Collector,Hipaas Infotech,2-3 Yrs,". Strong computer and keyboarding skills, with the ability to type a minimum of 35 word..."
Hiring For SAP Security,Tech Mahindra,7-12 Yrs,Needs to work from any TechM office from Day Should have exposure to S4 Hana implementa...
Project Manager -Basis,Tech Mahindra,10-12 Yrs,"Should have experience in usage of various effort estimation techniques, pricing strate..."
Hiring For SAP Ariba,Tech Mahindra,10-12 Yrs,SAP Certification Should have material management Should have module lead experience 1...
Hiring For S4 MM RISE,Tech Mahindra,12-14 Yrs,SAP Certification Should have material management Should have S4 Hana Cloud experienceS...
Principal Software Engineer,Chargebee,4-7 Yrs,"- Experience in building scalable, reliable, and high-performance web and mobile applic..."
Principal Software Engineer - Backend Development,Chargebee,7-10 Yrs," Implement new products and product infrastructure. Deliver well-tested code, wit..."
Api & Identity - Backend Developer,Hitachi Ltd.,3-6 Yrs,"Experience in AWS in S3, ECS, Lambda . - Experience building scalable, distributed REST..."
Xamarin/Maui Developer,Lordist Infotech,1-3 Yrs,. 1+ years of experience in Xamarin.Forms development . Experience with dot net MAUI is...
Linux Admin Job Openings,Vedamcloud Technologies,0-5 Yrs,We are looking for Fresher to experienced who are ready to work as Linux Admin for our ...
MBBS Doctor - Work From Home - Teleconsultation.,Mosaic Wellness,0-5 Yrs,Permanent Work From Home Job) Be Bodywise - Wellness revolution designed to help women ...
Service Now Developers Job Openings,Vedamcloud Technologies,0-5 Yrs,We are looking for experienced who are ready to work as service Now Developer for our I...
JAVA Script Developers Job Openings,Vedamcloud Technologies,0-5 Yrs,We are looking for experienced who are ready to work as JAVA Script Developer for our I...
Junior Data Scientist,Product firm,0-3 Yrs,Experience with SQL for data querying and manipulationPrior experience with data analys...
Stock Auditor,Anmol Industries Ltd.,0-1 Yrs,Preferred candidate profile : . Fresh graduates with good excel knowledge
Marketing & Business Development,Shine Projects,Not specified,Not specified
Online English Tutor/Trainer - Work From Home,PlanetSpark,0-4 Yrs,-Teaching students virtually using the PlanetSpark learning methods -Any Graduate or P ...
0-3 years of Experience in Java / JEE & Spring,Maple Infosystems Private Limited,0-3 Yrs,"Preferred -.Experience in Struts & Spring 3 years of Experience in Java, JEE & MySQL"
Sales Executive,UltraTech Cement,0-3 Yrs,"Specify required role expertise, previous job experience, or relevant certifications"
Junior Account Manager - Rotational Program,Stanley Black Decker India Ltd.,0-4 Yrs," As a Junior Account Manager, you will learn our products, customers and how-to-sell t..."
Lead Generation Intern,Logica Beans,Not specified,Not specified
"Intern, COVID-19 Action Hub (Volunteer)",United People Global Foundation,0-1 Yrs,Prior experience working in health-related initiatives is an asset . Strong co-ordinati...
SAP Logistics Consultant_Remote,V Soft Consulting,5-10 Yrs,"Strong business acumen, preferably in Utility industry"
SAP ABAP Consultant 4,Tecksight Info Solutions,7-12 Yrs,SAP ABAP Developer who can work in Second Shift * SAP Fiori development experience is r...
Intelliswift is hiring For API Developer Remote Support,Intelliswift,4-8 Yrs,This combined with our leadership talent from Tier 1 organizations makes us an obvious ...
senior DevOps Engineer(Azure),Wolters Kluwer,6-10 Yrs,"A Bachelor or masters degree in Computer Science, Information Technology or equivalent ..."
OTM Consultant - Oracle Fusion SCM,Mastek Enterprise Solutions,4-8 Yrs,Role & responsibilities As an Oracle Transportation Management (OTM) Functional Consul...
Hiring For a Java Backend Engineer For Pune / Remote Support,Intelliswift,10-12 Yrs,"Experience developing, profiling, and troubleshooting custom applications, including ex..."
Engineer - Pavers,Propel Industries,3-7 Yrs,Routine and Scheduled Maintenance activity at the customer site. Hand on experience in ...
Intelliswift is hiring For Integration Lead Remote Support,Intelliswift,8-12 Yrs,"Experience developing, profiling, and troubleshooting custom applications, including ex..."
Urgent Opening For API Architect,Intelliswift,10-20 Yrs,"Must have Skills - REST APIs, Java / Python, AWS, JSON Notice Period - Immediate joiner..."
Intelliswift is hiring For Integration Lead For Remote Support,Intelliswift,8-12 Yrs,"Experience developing, profiling, and troubleshooting custom applications, including ex..."
Intelliswift is hiring For API Developer Remote Support,Intelliswift,4-8 Yrs,This combined with our leadership talent from Tier 1 organizations makes us an obvious ...
Azure Sr.Devops Engineer (IAC & Azure CLI),Intelliswift,7-12 Yrs,Experience : 7 to 12 Years. Job Location: Remote. Technical Mandatory Skills: Azure Dev...
AWS Event Bridge Developer,Intelliswift,5-10 Yrs,This combined with our leadership talent from Tier 1 organizations makes us an obvious ...
ML/Data Scientist/GenAI Specialist,Roots Innovation Labs,0-2 Yrs,Candidate should have a Bachelors Degree Required . Education . Experience . 0 to 4 yea...
Online Tutor - Accounting/Finance + Basic Maths (Night Shift),TVM Technology,0-3 Yrs,This is a full-time job and you can work from homeShift Timing is between 11 PM to 11 A...
Content Writer - English Subject,TVM Technology,0-3 Yrs,"Qualifications: . Bachelors degree in English, Education, or a related fieldProven expe..."
Freelancer Data Entry|Immediate Joiner,Sourcehov,0-5 Yrs,No education Qualification required Age must be 18 Candidate must have own mobile phone...
Urgent Hiring/Talent Coordinator/Product Organization/Remote Job,Varite,1-4 Yrs,Desired Skills and Experience: . Masters / Bachelors degree We are looking for Talent c...
Lead Data Analyst - Mumbai/Kolkata - MNC,PES Hr Services A Div Of Amal Infosystems,8-13 Yrs,"Urgent hiring for MNC Exp-8+yrs Skills: AWS/Azure/GCP Tableau, Power BI Snowflake Respo..."
Drupal Commerce Developer (Remote),Protiviti India,2-7 Yrs,This is Full Time Permanent opportunity with Remote. of Resources GitLab 1 Gitlab Pipel...
Specialist,Manpowergroup Services India,4-9 Yrs,review . and approve changes to master batch records or laboratory methods / specificat...
Sharepoint Developer - WFH - MNC,PES Hr Services A Div Of Amal Infosystems,5-8 Yrs,"Proficient in SharePoint Online, SharePoint 2013 / 2016/2019, and related technologies ..."
Accessibility Developer with Angular - WFH - MNC,PES Hr Services A Div Of Amal Infosystems,5-8 Yrs,"Must have used Screen readers (JAWS, NVDA, Voiceover)"
Sr Accessibility Developer - Mumbai/Kolkata - MNC,PES Hr Services A Div Of Amal Infosystems,3-8 Yrs,"Skills Required pranjali@peshr.com Must have hands on testing exp of screen readers, to..."
Puzzles Creator,Avenues Learning,3-8 Yrs,- This is a work-from-home job for freelancers. - Create Puzzles of all formats for all...
HR Intern | Freshers | WFH,Leading Executive Search Firm,0-1 Yrs,"Screening Resume through Job Portal, References, Networking. - Sharing suitable candida..."
Business Development Trainee,EF Polymer,0-1 Yrs,Conduct research to identify new markets and customer needs Arrange business meetings w...
Sales Executive,GENERAL DIAGNOSTICS INTERNATIONAL (P) LTD.,0-5 Yrs,The opportunity is significant specifically for fresher or profiles with limited experi...
Management Executive Human Resource,MAP Consulting,0-5 Yrs,Freshers are can apply training shall be given
Bench Sales Recruiter,Zalway Inc.,2-6 Yrs,"Marketing the bench consultants and maintain a good rapport with themIn addition, teamw..."
Automation Test Engineer- Python,CSG International,3-8 Yrs,Location: Remote /WFO / Hybrid (As per candidates preference). Salary : Best in Industr...
Market Sales Representative,500 Electrical Equipment Corporation,1-5 Yrs,Preferred candidate profile -Bangalore. .
Maximo Developer,Superior Electric Machines,7-9 Yrs,"MAS8 / Maximo 6 / 5 / x, Maximo Java customization, PL / SQL, ETL and Data Conversion e..."
Field Application Engineer,Fischer Connectors India,5-9 Yrs,Candidate must be able to lead / manage a production line team along with ability to do...
Content Writer Bangalore,Bangalore Prop,1-5 Yrs,Roles and ResponsibilitiesThe Digital Marketing Content Writer is responsible for colla...
Senior Azure DevOps Engineer cum Architect,Yularatech Pvt Ltd,5-10 Yrs,Experience Level: Minimum of 5+ Years of proven experience in building & and managing t...
Senior SAP ABAP with Workflow Consultant,Exalogic Consulting,8-12 Yrs,Experience : 8+ Years . Notice Period : 15-30 Days
SAP DCEM (Digital Customer Engagement Manager) -Immediate joiner,Remote Resource,6-11 Yrs,Technical expertise in SAP Basis area with minimum of 5+ years of experienceGood unders...
Hiring Lead Outsystem Developer with Datamatics - Remote,Datamatics,6-11 Yrs,"OutSystems Certifications Preferred Overall 6+ Years of exp, minimum 4 years in Out Sys..."
Sap Basis Hana Consultant - Immediate joiner,Remote Resource,6-11 Yrs,"6+ years (CAA Role)- REX (SAP Basis, SAP HANA and S / 4 HANA skills, Migration/ Upgrade..."
Senior Lift technician,K Ramanathan & Co,3-8 Yrs,"Self-motivated, disciplined, polite and should maintain cleanliness at jobExpert in ele..."
Cloud Network Engineer,Customized It Solutions,4-6 Yrs,Hands on experience on Cisco Routers and SwitchesExperience in Cisco Wireless - WLC (55...
React JS Developer,Cleankoding,4-5 Yrs,"Start up experience is mandatory. Proficiency in HTML, JavaScript, and CSS. Strong expe..."
Freelance Corporate Trainer - SAP Data Migration Batch with DSP and BO,Unext Learning,10-20 Yrs,Below are the team expectations from SAP Data Migration Batch with DSP and BODS. . SAP ...
Sales Manager,Nurrishelite Diversities Llp,1-3 Yrs,"Role & responsibilities Sales strategy, Sales promotional activities , sales operations..."
Sales Professional,Innovative People Management,2-7 Yrs,Job requirements - Candidate should have few years experience in Steel /PVC/ Paint / PI...
Data Engineer,Wissda,4-7 Yrs,"Bachelors degree in Computer Science, Data Science, or a related fieldAt least 5+ years..."
L2 GSOC Analyst,Leading Client,4-5 Yrs,This is a full-time position with an expectation that analysts be available for extende...
Tableau Administrator,Viaprom Technologies,4-6 Yrs,Create user guides and documentation for Tableau Server best practices. . Key Skills: P...
UI DEVELOPER,Shashwath Solution,5-6 Yrs,UI Developer Responsibilities:Designing and developing user interfaces using angular be...
Social Media Manager,Nexabridge Consultancy,2-7 Yrs,"Brings a minimum of 2 years of experience in social media management, ideally in the je..."
Accounting and Inventory Associate,Nexabridge Consultancy,2-7 Yrs,We Are Looking For Someone Who: . Has a minimum of 2 years of experience in accounting ...
Senior Software Engineer (C/C++),Akamai,4-8 Yrs,"Preferred candidate profile -. Be proficient in the art of writing clear, maintainable,..."
Project Coordinator - Data Solutions (DS),Mayflower Language Services,2-5 Yrs,Notice Period: We are looking only for immediate joiners Understand the client requirem...
US healthcare Credentialling/Enrollment Specialist,Dr.Billerz,2-7 Yrs,Preferred experience in credentialing within the Texas healthcare landscapePrevious exp...
Lead React Developer,Kinexcs Pte Ltd,5-10 Yrs," Design and develop frontend web apps utilizing React, Tailwind, chakra, Redux, etc, en..."
Lead Developer,Agriocom,4-8 Yrs,"About Us:AgrioCom Ltd., founded in 2017 is a Chinese -Austrian company focusing on digi..."
Front End Web Developer,Optimum Solutions,3-5 Yrs,Preferred candidate profile : . 3+ years of frontend software development experience wi...
Digital Marketing Manager,Lider Consultancy Services (p) Ltd,3-8 Yrs,Experience: 2+ years . CTC: Upto 3 LPA . Notice Period: Immediate - 30 Days . Work Type...
Flutter Developer,Prosofos India,3-6 Yrs,Job description We are searching for a flutter Developer to join our excellent team. Yo...
Data Modeler-Bangalore,V Soft Consulting,8-12 Yrs,Candidate should be working as Data Modeler (is a must)Must have designed and supported...
.NET with React Developer,V Soft Consulting,7-10 Yrs,"A commitment to collaborative problem solving, sophisticated design, and quality produc..."
Oracle Performance Management Professional (Talent Management Cloud ),KRG Technologies India Pvt Ltd,8-13 Yrs,Shift Middle East Timing Candidate should have experience in Oracle Fusion Performance ...
Servicenow Consultant,Sincera Technology India,10-18 Yrs,Experience with release / version upgrades including scheduling cloning and migration o...
Senior Lead II - Servicenow,Akamai,8-13 Yrs,To be successful in this role you will: Have a Bachelors degree in Information Technolo...
Project Manager- Integration,Royal Cyber,10-20 Yrs,"Qualifications: . Bachelors degree in Computer Science, Information Technology, or a re..."
Terraform Engineer,Puresoftware,4-9 Yrs, Exp 5-10 yearsJob Location: Pan India Upgrading terraform scripts from v.11 to v.14 an...
"Technician -CCTV, FAS, PA ACS (MALE Only) Karnataka Candidates",Trident Automation Systems,1-3 Yrs,Ensure that all conduit and wire run and installations meet expected quality standardsA...
Content Writer (Construction writing experience preferred),Infomacts,4-7 Yrs,"Qualifications: . Bachelors degree in English, Journalism, Communications, or a related..."
RoR Developer Profile For shortlisting,Nomiso,6-10 Yrs,Experience: Over 7 years of hands-on experience in Ruby on Rails.
Site Reliability Engineer,Ascendion Engineering,4-9 Yrs,"Cloud platforms, preferably Azure.Linux/system administration, DevOps practices and CI/..."
Executive Director - NBFC - Lending (15+ years),Crescendo Global Leadership Hiring India,15-24 Yrs,"Bachelors degree in finance, business, economics, or related field (MBA or advanced deg..."
E-Commerce Manager,Bolt Buy,5-10 Yrs,"Location : Remote (Must be available during U.S. EST business hours, 08:00 AM to 5:00 P..."
Senior Quality Specialist,Veripark,5-10 Yrs, We are FinTech people. We enable financial institutions to become digital leaders.As a...
Project Manager,Fass Tech Systems,5-7 Yrs,Roles and ResponsibilitiesEffectively communicate challenges and project progresses and...
Diagnostic Specialist,Arkray Healthcare,1-6 Yrs,The Diagnostics Specialist should try to book as many orders as possible from stockists
Design Engineer & Senior Design Engineer,Vee Technologies Pvt Ltd,3-7 Yrs,M Tech (Structural Engineering) Working knowledge on projects in India (must) Design kn...
"Software Engineer- Angular, Rdbms",CSG International,3-5 Yrs,. Bachelors degree in Computer Science Engineering or equivalent experience We are in s...
Recruiter - Real Estate Industry - Women Only,Jobs Territory,2-7 Yrs,Hiring for permanent Work from Home for a real estate company Minimum: 2 Year experienc...
Exciting Opportunity: Business Development Manager (Women Only),Jobs Territory,3-8 Yrs,"Job Type: Full-time, Work from Home. Job Summary: As the Business Development Manager, ..."
Join Remote Recruiting in BPO: Ideal For Women Candidates,Jobs Territory,2-7 Yrs, Job Overview: We are currently seeking a talented and motivated BPO Recruiter to joi...
"Software Dev Engineer- C/C++, SQL",CSG International,1-5 Yrs,"We are looking for Software Dev Engineers, who has good hands-on experience in C/C++, D..."
Scrum Master (With prior experience in C/C++ development),CSG International,7-12 Yrs,". Bachelors degree in computer science, Computer Engineering, or a related field7+ year..."
Service Desk Analyst,CSG International,2-5 Yrs,Associates bachelors degree or equivalent experience 2 years of experience in working w...
Full Stack/ Lead Engineer | Quick joiner | MSys Technologies !!,MSys Technologies,10-15 Yrs,"A solid understanding of JavaScript concepts, . including ES6+ features, is essential. ..."
Manager,Genworks Global Solutions,5-7 Yrs,Work experience & Education: . Graduate / Post Graduate Must have skills: Knowledge of ...
Associate Director,Genworks Global Solutions,10-14 Yrs,10+ years of operations experience within a BPO / contact centre with last few years ma...
Singleview Developer-Senior,CSG International,7-12 Yrs,"Location:- Anywhere in India. JD:-. A Bachelors degree in Computer Science, Engineering..."
Singleview Developer,CSG International,2-7 Yrs,"Location:- Anywhere in India. JD:- . A Bachelors degree in Computer Science, Engineerin..."
Senior Ui Developer,Firstsource,3-7 Yrs,"Preferred candidate profile Experience with Photoshop, Illustrator, and other design to..."
Financial Governance Analyst,CSG International,2-5 Yrs,Bachelor s Degree or equivalent experience . Experience building reports and dashboards...
Senior Technical Recruiter with US IT Staffing Experience,Orbit Systems Inc.,5-10 Yrs,Shift Timings: US EST timingInstruct applicants on the nature of the job and whom they ...
Technical Lead,Firstsource,8-13 Yrs, Job brief:We are looking for an experienced hand on Technical Manager to join our team...
Lock Desk,Genworks Global Solutions,4-9 Yrs,Graduates in any discipline Minimum of 4 Yrs experience with hands on knowledge & exper...
Underwriting Specialist,Genworks Global Solutions,3-8 Yrs,Graduates in any discipline Examine loan documentation for accuracy and completeness an...
Post Close Shipping,Genworks Global Solutions,3-8 Yrs,Graduates in any discipline Key Responsibilities: . Should be strong in identifying an...
Pre Fund Quality Control,Genworks Global Solutions,3-8 Yrs,Graduates in any discipline Examine loan documentation for accuracy and completeness an...
Doc Draw and ReDraw,Genworks Global Solutions,4-8 Yrs, Key Responsibilities: Current knowledge of TRID Guidelines with ability to calculate ...
"Disclosures, Initial CD and Locked LE",Genworks Global Solutions,3-8 Yrs,Graduates in any discipline Minimum of 3 Years experience as Disclosures Associate / Sp...
Account Management Assistant,Genworks Global Solutions,3-5 Yrs,Graduates in any discipline Minimum of 4 Yrs experience with hands on knowledge & exper...
Executive / Assistant Manager - Administration & Operations,Dr Batras,3-8 Yrs,. Bachelors degree in Business Administration or related fieldPreferred candidate profi...
Remote English Educator/Teacher/Faculty/Tutor - Flexible Part Time,PlanetSpark,1-5 Yrs,-Teaching students virtually using the PlanetSpark learning methods -Any Graduate or P....
Store Officer - Nepal,Angelique International,7-10 Yrs,Preferred candidate profile:- Candidate having 08 to 10 year of experience in the field...
Data Scientist 3,Angel One,5-9 Yrs,The candidate should be adept at discovering insights from large datasets and providing...
Excel Project Specialist,Sri Saravana Consultancy Services,2-7 Yrs,Preferred candidate profile Experience working with diverse geographies is preferredGoo...
Technical Content Writer,Exalogic Consulting,5-6 Yrs,"Requirements: . Bachelors / Masters degree in English, Communications, Journalism, Adve..."
Sales Manager PQEC,Amtech Electronics,14-21 Yrs,6) Reporting to Branch Manager / H.O regularly as per requirement 5) Building and enhan...
Sales Representative,Investors Clinic,1-6 Yrs,Preferred candidate profile . Should have Fire & Hunger for Sales and should be a cons...
Business Development Executive,Dhrona Academy,1-6 Yrs,Primary Focus: 1. Involve in Branding and promoting about our services. Focus on bringi...
